year,age,name,movie
1927,22,Janet Gaynor,"Seventh Heaven, Street Angel and Sunrise: A Song of Two Humans"
1928,37,Mary Pickford,Coquette
1929,28,Norma Shearer,The Divorcee
1930,63,Marie Dressler,Min and Bill
1931,32,Helen Hayes,The Sin of Madelon Claudet
1932,26,Katharine Hepburn,Morning Glory
1933,31,Claudette Colbert,It Happened One Night
1934,27,Bette Davis,Dangerous
1935,27,Luise Rainer,The Great Ziegfeld
1936,28,Luise Rainer,The Good Earth
1937,30,Bette Davis,Jezebel
1938,26,Vivien Leigh,Gone with the Wind
1939,29,Ginger Rogers,Kitty Foyle
1940,24,Joan Fontaine,Suspicion
1941,38,Greer Garson,Mrs. Miniver
1942,25,Jennifer Jones,The Song of Bernadette
1943,29,Ingrid Bergman,Gaslight
1944,40,Joan Crawford,Mildred Pierce
1945,30,Olivia de Havilland,To Each His Own
1946,35,Loretta Young,The Farmer's Daughter
1947,32,Jane Wyman,Johnny Belinda
1948,33,Olivia de Havilland,The Heiress
1949,29,Judy Holliday,Born Yesterday
1950,38,Vivien Leigh,A Streetcar Named Desire
1951,54,Shirley Booth,"Come Back, Little Sheba"
1952,24,Audrey Hepburn,Roman Holiday
1953,25,Grace Kelly,The Country Girl
1954,48,Anna Magnani,The Rose Tattoo
1955,41,Ingrid Bergman,Anastasia
1956,28,Joanne Woodward,The Three Faces of Eve
1957,41,Susan Hayward,I Want to Live!
1958,39,Simone Signoret,Room at the Top
1959,29,Elizabeth Taylor,BUtterfield 8
1960,27,Sophia Loren,Two Women
1961,31,Anne Bancroft,The Miracle Worker
1962,31,Patricia Neal,Hud
1963,29,Julie Andrews,Mary Poppins
1964,25,Julie Christie,Darling
1965,35,Elizabeth Taylor,Who's Afraid of Virginia Woolf?
1966,60,Katharine Hepburn,Guess Who's Coming to Dinner
1967,61,Katharine Hepburn,The Lion in Winter
1968,26,Barbra Streisand,Funny Girl
1969,35,Maggie Smith,The Prime of Miss Jean Brodie
1970,34,Glenda Jackson,Women in Love
1971,34,Jane Fonda,Klute
1972,27,Liza Minnelli,Cabaret
1973,37,Glenda Jackson,A Touch of Class
1974,42,Ellen Burstyn,Alice Doesn't Live Here Anymore
1975,41,Louise Fletcher,One Flew Over the Cuckoo's Nest
1976,36,Faye Dunaway,Network
1977,32,Diane Keaton,Annie Hall
1978,41,Jane Fonda,Coming Home
1979,33,Sally Field,Norma Rae
1980,31,Sissy Spacek,Coal Miner's Daughter
1981,74,Katharine Hepburn,On Golden Pond
1982,33,Meryl Streep,Sophie's Choice
1983,49,Shirley MacLaine,Terms of Endearment
1984,38,Sally Field,Places in the Heart
1985,61,Geraldine Page,The Trip to Bountiful
1986,21,Marlee Matlin,Children of a Lesser God
1987,41,Cher,Moonstruck
1988,26,Jodie Foster,The Accused
1989,80,Jessica Tandy,Driving Miss Daisy
1990,42,Kathy Bates,Misery
1991,29,Jodie Foster,The Silence of the Lambs
1992,33,Emma Thompson,Howards End
1993,36,Holly Hunter,The Piano
1994,45,Jessica Lange,Blue Sky
1995,49,Susan Sarandon,Dead Man Walking
1996,39,Frances McDormand,Fargo
1997,34,Helen Hunt,As Good as It Gets
1998,26,Gwyneth Paltrow,Shakespeare in Love
1999,25,Hilary Swank,Boys Don't Cry
2000,33,Julia Roberts,Erin Brockovich
2001,35,Halle Berry,Monster's Ball
2002,35,Nicole Kidman,The Hours
2003,28,Charlize Theron,Monster
2004,30,Hilary Swank,Million Dollar Baby
2005,29,Reese Witherspoon,Walk the Line
2006,61,Helen Mirren,The Queen
2007,32,Marion Cotillard,La Vie en rose
2008,33,Kate Winslet,The Reader
2009,45,Sandra Bullock,The Blind Side
2010,29,Natalie Portman,Black Swan
2011,62,Meryl Streep,The Iron Lady
2012,22,Jennifer Lawrence,Silver Linings Playbook
2013,44,Cate Blanchett,Blue Jasmine
2014,54,Julianne Moore,Still Alice
2015,26,Brie Larson,Room
2016,28,Emma Stone,La La Land
2017,60,Frances McDormand,"Three Billboards Outside Ebbing, Missouri"
2018,44,Olivia Colman,The Favourite
2019,50,Renée Zellweger,Judy
2020,63,Frances McDormand,Nomadland
2021,44,Jessica Chastain,The Eyes of Tammy Faye
2022,60,Michelle Yeoh,Everything Everywhere All at Once
