year,age,name,movie
1927,44,Emil Jannings,"The Last Command, The Way of All Flesh"
1928,41,Warner Baxter,In Old Arizona
1929,62,George Arliss,Disraeli
1930,53,Lionel Barrymore,A Free Soul
1931,47,Wallace Beery,The Champ
1932,35,Fredric March,Dr. Jekyll and Mr. Hyde
1933,34,Charles Laughton,The Private Life of Henry VIII
1934,34,Clark Gable,It Happened One Night
1935,49,Victor McLaglen,The Informer
1936,41,Paul Muni,The Story of Louis Pasteur
1937,37,Spencer Tracy,Captains Courageous
1938,38,Spencer Tracy,Boys Town
1939,34,Robert Donat,"Goodbye, Mr. Chips"
1940,32,James Stewart,The Philadelphia Story
1941,40,Gary Cooper,Sergeant York
1942,43,James Cagney,Yankee Doodle Dandy
1943,48,Paul Lukas,Watch on the Rhine
1944,41,Bing Crosby,Going My Way
1945,39,Ray Milland,The Lost Weekend 
1946,49,Fredric March,The Best Years of Our Lives
1947,57,Ronald Colman,A Double Life
1948,41,Laurence Olivier,Hamlet
1949,38,Broderick Crawford,All the King's Men
1950,39,José Ferrer,Cyrano de Bergerac
1951,52,Humphrey Bogart,The African Queen
1952,51,Gary Cooper,High Noon
1953,35,William Holden,Stalag 17
1954,30,Marlon Brando,On the Waterfront
1955,39,Ernest Borgnine,Marty
1956,36,Yul Brynner,The King and I
1957,43,Alec Guinness,The Bridge on the River Kwai
1958,49,David Niven,Separate Tables
1959,36,Charlton Heston,Ben-Hur
1960,47,Burt Lancaster,Elmer Gantry
1961,31,Maximilian Schell,Judgment at Nuremberg
1962,47,Gregory Peck,To Kill a Mockingbird
1963,37,Sidney Poitier,Lilies of the Field
1964,57,Rex Harrison,My Fair Lady
1965,42,Lee Marvin,Cat Ballou
1966,45,Paul Scofield,A Man for All Seasons
1967,42,Rod Steiger,In the Heat of the Night
1968,45,Cliff Robertson,Charly
1969,62,John Wayne,True Grit
1970,43,George C. Scott,Patton
1971,42,Gene Hackman,The French Connection
1972,48,Marlon Brando,The Godfather
1973,49,Jack Lemmon,Save the Tiger
1974,56,Art Carney,Harry and Tonto
1975,38,Jack Nicholson,One Flew Over the Cuckoo's Nest
1976,60,Peter Finch,Network
1977,30,Richard Dreyfuss,The Goodbye Girl
1978,40,Jon Voight,Coming Home
1979,42,Dustin Hoffman,Kramer vs. Kramer
1980,37,Robert De Niro,Raging Bull
1981,76,Henry Fonda,On Golden Pond
1982,39,Ben Kingsley,Gandhi
1983,53,Robert Duvall,Tender Mercies
1984,45,F. Murray Abraham,Amadeus
1985,36,William Hurt,Kiss of the Spider Woman
1986,62,Paul Newman,The Color of Money
1987,43,Michael Douglas,Wall Street
1988,51,Dustin Hoffman,Rain Man
1989,32,Daniel Day-Lewis,My Left Foot
1990,42,Jeremy Irons,Reversal of Fortune
1991,54,Anthony Hopkins,The Silence of the Lambs
1992,52,Al Pacino,Scent of a Woman
1993,37,Tom Hanks,Philadelphia
1994,38,Tom Hanks,Forrest Gump
1995,32,Nicolas Cage,Leaving Las Vegas
1996,45,Geoffrey Rush,Shine
1997,60,Jack Nicholson,As Good as It Gets
1998,46,Roberto Benigni,Life Is Beautiful
1999,40,Kevin Spacey,American Beauty
2000,36,Russell Crowe,Gladiator
2001,47,Denzel Washington,Training Day
2002,29,Adrien Brody,The Pianist
2003,43,Sean Penn,Mystic River
2004,37,Jamie Foxx,Ray
2005,38,Philip Seymour Hoffman,Capote
2006,45,Forest Whitaker,The Last King of Scotland
2007,50,Daniel Day-Lewis,There Will Be Blood
2008,48,Sean Penn,Milk
2009,60,Jeff Bridges,Crazy Heart
2010,50,Colin Firth,The King's Speech
2011,39,Jean Dujardin,The Artist
2012,55,Daniel Day-Lewis,Lincoln
2013,44,Matthew McConaughey,Dallas Buyers Club
2014,33,Eddie Redmayne,The Theory of Everything
2015,41,Leonardo DiCaprio,The Revenant
,41,Casey Affleck,Manchester by the Sea
,59,Gary Oldman,Darkest Hour
,37,Rami Malek,Bohemian Rhapsody
,45,Joaquin Phoenix,Joker
,83,Anthony Hopkins,The Father
,53,Will Smith,King Richard
,54,Brendan Fraser,The Whale
