year,age,name,movie,gender
1927,22,Janet Gaynor,"Seventh Heaven, Street Angel and Sunrise: A Song of Two Humans",f
1928,37,Mary Pickford,Coquette,f
1929,28,Norma Shearer,The Divorcee,f
1930,63,Marie Dressler,Min and Bill,f
1931,32,Helen Hayes,The Sin of Madelon Claudet,f
1932,26,Katharine Hepburn,Morning Glory,f
1933,31,Claudette Colbert,It Happened One Night,f
1934,27,Bette Davis,Dangerous,f
1935,27,Luise Rainer,The Great Ziegfeld,f
1936,28,Luise Rainer,The Good Earth,f
1937,30,Bette Davis,Jezebel,f
1938,26,Vivien Leigh,Gone with the Wind,f
1939,29,Ginger Rogers,Kitty Foyle,f
1940,24,Joan Fontaine,Suspicion,f
1941,38,Greer Garson,Mrs. Miniver,f
1942,25,Jennifer Jones,The Song of Bernadette,f
1943,29,Ingrid Bergman,Gaslight,f
1944,40,Joan Crawford,Mildred Pierce,f
1945,30,Olivia de Havilland,To Each His Own,f
1946,35,Loretta Young,The Farmer's Daughter,f
1947,32,Jane Wyman,Johnny Belinda,f
1948,33,Olivia de Havilland,The Heiress,f
1949,29,Judy Holliday,Born Yesterday,f
1950,38,Vivien Leigh,A Streetcar Named Desire,f
1951,54,Shirley Booth,"Come Back, Little Sheba",f
1952,24,Audrey Hepburn,Roman Holiday,f
1953,25,Grace Kelly,The Country Girl,f
1954,48,Anna Magnani,The Rose Tattoo,f
1955,41,Ingrid Bergman,Anastasia,f
1956,28,Joanne Woodward,The Three Faces of Eve,f
1957,41,Susan Hayward,I Want to Live!,f
1958,39,Simone Signoret,Room at the Top,f
1959,29,Elizabeth Taylor,BUtterfield 8,f
1960,27,Sophia Loren,Two Women,f
1961,31,Anne Bancroft,The Miracle Worker,f
1962,31,Patricia Neal,Hud,f
1963,29,Julie Andrews,Mary Poppins,f
1964,25,Julie Christie,Darling,f
1965,35,Elizabeth Taylor,Who's Afraid of Virginia Woolf?,f
1966,60,Katharine Hepburn,Guess Who's Coming to Dinner,f
1967,61,Katharine Hepburn,The Lion in Winter,f
1968,26,Barbra Streisand,Funny Girl,f
1969,35,Maggie Smith,The Prime of Miss Jean Brodie,f
1970,34,Glenda Jackson,Women in Love,f
1971,34,Jane Fonda,Klute,f
1972,27,Liza Minnelli,Cabaret,f
1973,37,Glenda Jackson,A Touch of Class,f
1974,42,Ellen Burstyn,Alice Doesn't Live Here Anymore,f
1975,41,Louise Fletcher,One Flew Over the Cuckoo's Nest,f
